
Albania,#genre#
A2 CNN Albania,https://tv.a2news.com/live/smil:a2cnnweb.stream.smil/playlist.m3u8
ABC News Albania Ⓣ,https://www.twitch.tv/abcnewsal
AlbKanale Music TV Ⓢ,https://albportal.net/albkanalemusic.m3u8
Euronews Albania Ⓨ,https://www.youtube.com/@EuronewsAlbania/live
News 24 Ⓢ,https://tv.balkanweb.com/news24/livestream/playlist.m3u8
Ora News,https://live1.mediadesk.al/oranews.m3u8
Top News Ⓣ,https://www.twitch.tv/topnewsal
Tropoja,https://live.prostream.al/al/smil:tropojatv.smil/playlist.m3u8

Argentina,#genre#
A24 Ⓨ,https://www.youtube.com/c/A24com/live
América Ⓨ,https://www.youtube.com/c/americaenvivo/live
C5N Ⓨ,https://www.youtube.com/c/c5n/live
Canal 26 Ⓨ,https://www.youtube.com/c/canal26/live
Canal E,https://unlimited1-us.dps.live/perfiltv/perfiltv.smil/perfiltv/livestream2/chunks.m3u8
Crónica TV Ⓨ,https://www.youtube.com/c/cronicatv/live
El Destape Ⓨ,https://www.youtube.com/watch?v=JuskTxbUqmY
Encuentro Ⓨ Ⓖ,https://www.youtube.com/user/encuentro/live
IP Noticias Ⓨ,https://www.youtube.com/watch?v=IxQ2-6Y4y9w
LN+ Ⓨ,https://www.youtube.com/c/LaNacionMas/live
Net TV,https://unlimited1-us.dps.live/nettv/nettv.smil/playlist.m3u8
Pakapaka Ⓨ Ⓖ,https://www.youtube.com/user/CanalPakapaka/live
TN Todo Noticias Ⓨ,https://www.youtube.com/c/todonoticias/live
TV Universidad,https://stratus.stream.cespi.unlp.edu.ar/hls/tvunlp.m3u8
Telefe Ⓨ,https://telefe.com/Api/Videos/GetSourceUrl/694564/0/HLS?.m3u8
Televisión Pública Ⓨ,https://www.youtube.com/user/TVPublicaArgentina/live

Austria,#genre#
R9,https://ms01.w24.at/R9/smil:liveeventR9.smil/playlist.m3u8
RTV,http://iptv.rtv-ooe.at/stream.m3u8
Servus TV Ⓖ,https://rbmn-live.akamaized.net/hls/live/2002825/geoSTVATweb/master.m3u8
W24,https://ms01.w24.at/W24/smil:liveevent.smil/playlist.m3u8

Azerbaijan,#genre#
AzStarTV,http://live.azstartv.com/azstar/smil:azstar.smil/playlist.m3u8

Belarus,#genre#
1Mus,http://hz1.teleport.cc/HLS/HD.m3u8
Belros Ⓢ,https://live2.mediacdn.ru/sr1/tro/playlist.m3u8
Pervyy Muzykal'nyy BY Ⓢ,http://rtmp.one.by:1200
Беларусь 1,https://ngtrk.dc.beltelecom.by/ngtrk/smil:belarus1.smil/playlist.m3u8
Беларусь 2,https://ngtrk.dc.beltelecom.by/ngtrk/smil:belarus2.smil/playlist.m3u8
Беларусь 24,https://ngtrk.dc.beltelecom.by/ngtrk/smil:belarus24.smil/playlist.m3u8
Беларусь 3,https://ngtrk.dc.beltelecom.by/ngtrk/smil:belarus3.smil/playlist.m3u8
Беларусь 5,https://ngtrk.dc.beltelecom.by/ngtrk/smil:belarus5.smil/playlist.m3u8
Беларусь 5 Интернет,https://ngtrk.dc.beltelecom.by/ngtrk/smil:belarus5int.smil/playlist.m3u8
СТВ,https://ctv.dc.beltelecom.by/ctv/ctv.stream/playlist.m3u8

Belgium,#genre#
BX1,https://59959724487e3.streamlock.net/stream/live/playlist.m3u8
La Une,http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/29797c9f3f4fa00.m3u8
Tipik,http://4ce5e2d62ee2c10e43c709f9b87c44d5.streamhost.cc/m3u8/Belgium/5dee2de1f4661ce.m3u8

Bosnia and Herzegovina,#genre#
N1 Bosna i Hercegovina,https://best-str.umn.cdn.united.cloud/stream?channel=n1bos&p=n1Sh4redSecre7iNf0&sp=n1info&stream=sp1400&u=n1info
RTV HB Ⓢ,https://prd-hometv-live-open.spectar.tv/ERO_1_083/playlist.m3u8
RTV ZE Ⓢ,https://stream.rtvze.ba/live/123/123.m3u8
Televizija 5,https://balkanmedia.dynu.net/hls/tv5web.m3u8

Brazil,#genre#
COM Brasil,https://br5093.streamingdevideo.com.br/abc/abc/playlist.m3u8
RBC Ⓨ,https://www.youtube.com/watch?v=oUdd3CsxYaE
